Student_ID,Math,Science,English,History,Computer,Average_Score,Category
STU0001,49,77,84,44,80,66.8,Below Average
STU0002,55,52,67,74,78,65.2,Below Average
STU0003,96,84,91,65,93,85.8,Above Average
STU0004,44,75,98,46,75,67.6,Below Average
STU0005,88,74,75,93,79,81.8,Above Average
STU0006,88,58,69,97,53,73,Above Average
STU0007,96,66,75,79,84,80,Above Average
STU0008,75,71,44,75,70,67,Below Average
STU0009,74,88,50,80,72,72.8,Above Average
STU0010,89,55,64,70,85,72.6,Above Average
STU0011,50,65,77,53,58,60.6,Below Average
STU0012,48,58,64,88,77,67,Below Average
STU0013,86,90,96,77,46,79,Above Average
STU0014,84,54,53,51,42,56.8,Below Average
STU0015,81,94,42,87,91,79,Above Average
STU0016,94,78,46,83,59,72,Above Average
STU0017,98,43,88,96,90,83,Above Average
STU0018,88,66,97,86,71,81.6,Above Average
STU0019,86,84,81,90,86,85.4,Above Average
STU0020,76,77,93,99,74,83.8,Above Average
STU0021,78,52,64,63,68,65,Below Average
STU0022,60,41,57,47,68,54.6,Below Average
STU0023,99,45,66,69,94,74.6,Above Average
STU0024,60,94,68,46,52,64,Below Average
STU0025,95,50,84,98,53,76,Above Average
STU0026,52,86,90,65,56,69.8,Below Average
STU0027,96,82,99,88,75,88,Above Average
STU0028,81,89,89,77,55,78.2,Above Average
STU0029,45,76,44,64,87,63.2,Below Average
STU0030,78,43,90,58,55,64.8,Below Average
STU0031,77,62,62,47,56,60.8,Below Average
STU0032,58,45,47,71,89,62,Below Average
STU0033,46,51,82,69,67,63,Below Average
STU0034,90,59,71,45,52,63.4,Below Average
STU0035,96,75,70,86,80,81.4,Above Average
STU0036,84,74,91,73,73,79,Above Average
STU0037,74,79,54,45,79,66.2,Below Average
STU0038,88,51,88,89,46,72.4,Above Average
STU0039,93,40,85,74,53,69,Below Average
STU0040,45,98,92,74,42,70.2,Above Average
STU0041,56,45,87,84,48,64,Below Average
STU0042,98,76,76,48,63,72.2,Above Average
STU0043,75,83,47,76,62,68.6,Below Average
STU0044,88,41,70,49,73,64.2,Below Average
STU0045,96,66,64,73,90,77.8,Above Average
STU0046,67,61,69,58,49,60.8,Below Average
STU0047,73,56,65,90,59,68.6,Below Average
STU0048,52,85,56,93,72,71.6,Above Average
STU0049,88,53,79,97,83,80,Above Average
STU0050,58,55,58,87,94,70.4,Above Average
STU0051,55,82,52,91,40,64,Below Average
STU0052,46,63,64,81,82,67.2,Below Average
STU0053,60,42,66,52,44,52.8,Below Average
STU0054,66,55,79,48,52,60,Below Average
STU0055,68,96,43,93,48,69.6,Below Average
STU0056,49,51,88,92,54,66.8,Below Average
STU0057,56,99,69,67,85,75.2,Above Average
STU0058,85,68,83,48,81,73,Above Average
STU0059,40,89,49,92,88,71.6,Above Average
STU0060,45,59,50,81,85,64,Below Average
STU0061,45,58,41,92,97,66.6,Below Average
STU0062,83,85,57,49,60,66.8,Below Average
STU0063,97,63,99,71,59,77.8,Above Average
STU0064,94,90,81,45,92,80.4,Above Average
STU0065,75,66,68,60,60,65.8,Below Average
STU0066,44,56,65,96,72,66.6,Below Average
STU0067,52,93,93,70,58,73.2,Above Average
STU0068,70,99,78,78,60,77,Above Average
STU0069,70,54,82,44,78,65.6,Below Average
STU0070,52,47,69,77,67,62.4,Below Average
STU0071,78,87,72,73,62,74.4,Above Average
STU0072,65,73,98,73,72,76.2,Above Average
STU0073,72,85,47,97,82,76.6,Above Average
STU0074,98,81,89,49,50,73.4,Above Average
STU0075,66,50,40,94,42,58.4,Below Average
STU0076,98,79,65,69,64,75,Above Average
STU0077,72,71,62,70,88,72.6,Above Average
STU0078,88,92,48,81,99,81.6,Above Average
STU0079,65,62,76,50,86,67.8,Below Average
STU0080,55,40,50,64,73,56.4,Below Average
STU0081,93,57,52,98,97,79.4,Above Average
STU0082,42,41,97,91,65,67.2,Below Average
STU0083,97,45,71,50,59,64.4,Below Average
STU0084,47,94,69,88,97,79,Above Average
STU0085,73,62,66,61,63,65,Below Average
STU0086,48,61,51,83,77,64,Below Average
STU0087,98,50,96,67,84,79,Above Average
STU0088,90,81,86,77,87,84.2,Above Average
STU0089,79,51,99,65,76,74,Above Average
STU0090,70,55,69,83,80,71.4,Above Average
STU0091,64,53,45,93,87,68.4,Below Average
STU0092,65,75,99,62,52,70.6,Above Average
STU0093,83,59,46,93,41,64.4,Below Average
STU0094,40,84,75,76,73,69.6,Below Average
STU0095,65,93,63,69,90,76,Above Average
STU0096,68,83,86,73,54,72.8,Above Average
STU0097,54,79,79,80,51,68.6,Below Average
STU0098,87,49,81,92,66,75,Above Average
STU0099,79,97,87,61,50,74.8,Above Average
STU0100,45,72,90,84,48,67.8,Below Average
STU0101,83,58,79,91,68,75.8,Above Average
STU0102,58,43,55,57,88,60.2,Below Average
