Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST00001,59,115481.02,401684.68,703,60,Yes
CUST00002,49,101893.3,241260.17,644,36,No
CUST00003,35,133046.12,80802.11,629,12,No
CUST00004,63,45634.97,25185.12,623,36,No
CUST00005,28,55995.75,81814.6,645,120,No
CUST00006,41,24773.03,26936.99,616,36,No
CUST00007,59,95284.32,280055.25,699,36,No
CUST00008,39,28984.0,87949.54,620,24,Yes
CUST00009,43,54043.74,68952.05,769,60,No
CUST00010,31,29917.95,44186.85,760,36,No
CUST00011,31,37609.42,45460.04,583,36,No
CUST00012,44,33631.95,108468.0,655,36,Yes
CUST00013,56,37289.09,74874.55,601,36,No
CUST00014,60,38460.8,94937.07,626,36,Yes
CUST00015,44,38302.83,66893.83,800,48,No
CUST00016,23,71324.86,170683.43,627,60,No
CUST00017,42,29816.34,49422.56,677,60,Yes
CUST00018,22,54135.4,82233.58,691,60,No
CUST00019,44,84802.61,203818.0,575,24,Yes
CUST00020,64,38912.14,88454.54,586,60,Yes
CUST00021,50,35487.52,48993.5,560,24,Yes
CUST00022,58,44190.45,41894.55,584,24,No
CUST00023,22,83356.04,133847.3,436,84,Yes
CUST00024,41,53495.27,93380.96,691,60,No
CUST00025,53,38597.92,92096.68,804,48,No
CUST00026,32,60946.06,197683.8,661,84,Yes
CUST00027,42,29850.85,18165.87,544,120,No
CUST00028,64,66610.12,81995.93,602,48,No
CUST00029,45,58916.31,63697.24,616,48,No
CUST00030,47,42680.02,85653.82,574,60,No
CUST00031,62,33611.93,60135.19,715,24,No
CUST00032,48,32892.29,88385.3,711,24,No
CUST00033,36,62359.28,76530.29,563,60,No
CUST00034,35,85224.24,194609.13,704,36,No
CUST00035,64,36798.47,115973.02,765,24,Yes
CUST00036,23,60250.97,194733.14,793,36,No
CUST00037,57,19164.94,64707.62,850,36,No
CUST00038,27,37681.41,106253.42,582,120,Yes
CUST00039,41,48340.43,155557.75,850,48,No
CUST00040,29,32553.57,39181.24,623,48,No
CUST00041,59,32163.0,35145.89,606,120,No
CUST00042,38,36297.32,18855.16,675,84,No
CUST00043,24,55909.34,146512.27,606,48,Yes
CUST00044,45,45057.82,149249.59,680,84,Yes
CUST00045,34,17904.3,18992.99,551,36,No
CUST00046,29,18876.72,45508.58,632,24,Yes
CUST00047,46,37306.05,102195.42,746,24,No
CUST00048,22,60231.99,197732.15,646,48,Yes
CUST00049,40,15000.0,36608.71,661,48,No
CUST00050,48,39148.66,133531.43,686,48,No
CUST00051,27,38684.27,59342.42,738,48,No
CUST00052,64,91560.2,141898.68,526,12,Yes
CUST00053,28,41222.53,87764.31,694,12,No
CUST00054,55,58241.01,96127.12,630,48,No
CUST00055,34,52238.01,26342.44,662,24,No
CUST00056,37,18793.1,50653.34,729,48,No
CUST00057,56,69264.88,190835.21,560,48,No
CUST00058,60,54010.21,148037.87,574,48,Yes
CUST00059,24,61618.71,94588.54,505,36,Yes
CUST00060,22,286876.47,592935.92,609,48,Yes
